fac_heduc_12-15,fac_heduc_16+,fac_heduc_<12,fac_heblack_No,fac_heblack_Yes,fac_mixed_No,fac_mixed_Yes,time,event
0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.834,1
0.0,0.0,1.0,1.0,0.0,1.0,0.0,17.532,1
1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.418,0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,16.706,0
0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.869,0
1.0,0.0,0.0,0.0,1.0,1.0,0.0,7.732,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,5.2105,1
1.0,0.0,0.0,1.0,0.0,1.0,0.0,15.444,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,37.67,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,22.697,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,37.495,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,30.738,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,48.654,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,36.668,0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,27.789,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,5.67,1
0.0,0.0,1.0,1.0,0.0,1.0,0.0,17.999,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,7.5975,1
0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.791,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.475,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,13.136,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,5.717,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,5.717,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,26.278,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.331,1
0.0,0.0,1.0,1.0,0.0,1.0,0.0,8.893,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,4.671,1
0.0,0.0,1.0,1.0,0.0,1.0,0.0,39.332,0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,39.332,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,12.999,0
1.0,0.0,0.0,1.0,0.0,1.0,0.0,14.817,0
