,fold0_variance,fold0_old_variance,fold0_random,fold0_uncertainty,fold0_old_uncertainty,fold1_variance,fold1_old_variance,fold1_random,fold1_uncertainty,fold1_old_uncertainty
1,"[417, 493, 433, 547, 374, 510, 683, 542]","[417, 493, 433, 547, 374, 510, 683, 542]","[173, 319, 624, 52, 55, 753, 70, 132]","[374, 541, 464, 167, 651, 91, 79, 237]","[374, 541, 464, 167, 651, 91, 79, 237]","[428, 583, 600, 424, 302, 568, 566, 351]","[428, 583, 600, 424, 302, 568, 566, 351]","[178, 307, 621, 47, 52, 757, 72, 134]","[422, 450, 231, 168, 128, 572, 776, 373]","[422, 450, 231, 168, 128, 572, 776, 373]"
2,"[272, 660, 33, 781, 617, 666, 417, 177]","[272, 660, 33, 781, 617, 666, 417, 177]","[266, 43, 624, 544, 205, 238, 215, 741]","[749, 757, 214, 419, 353, 216, 634, 126]","[749, 757, 214, 419, 353, 216, 634, 126]","[125, 213, 718, 518, 186, 537, 40, 4]","[125, 213, 718, 518, 186, 537, 40, 4]","[255, 45, 621, 544, 193, 246, 220, 739]","[63, 667, 251, 789, 677, 421, 419, 648]","[63, 667, 251, 789, 677, 421, 419, 648]"
3,"[790, 19, 7, 502, 674, 721, 114, 404]","[790, 19, 7, 502, 674, 721, 114, 404]","[266, 706, 624, 544, 430, 441, 40, 741]","[159, 297, 126, 472, 649, 693, 757, 14]","[757, 159, 297, 126, 649, 472, 693, 14]","[210, 176, 510, 171, 120, 62, 497, 76]","[210, 176, 510, 171, 120, 62, 497, 76]","[255, 707, 621, 544, 436, 437, 43, 739]","[441, 768, 611, 186, 665, 10, 134, 563]","[441, 768, 611, 186, 665, 10, 134, 563]"
4,"[552, 405, 798, 365, 159, 75, 343, 342]","[552, 405, 798, 365, 159, 75, 343, 342]","[377, 547, 624, 495, 114, 437, 209, 457]","[509, 678, 126, 772, 392, 664, 266, 322]","[749, 5, 449, 698, 582, 285, 701, 543]","[266, 360, 746, 705, 585, 28, 547, 565]","[266, 360, 746, 705, 585, 28, 547, 565]","[359, 546, 621, 471, 110, 431, 217, 461]","[427, 476, 19, 35, 650, 17, 443, 752]","[427, 476, 19, 35, 650, 17, 443, 752]"
5,"[793, 154, 502, 674, 160, 268, 320, 745]","[793, 154, 502, 674, 160, 268, 320, 745]","[313, 330, 624, 155, 102, 356, 442, 504]","[77, 507, 535, 793, 428, 135, 493, 316]","[156, 199, 537, 465, 268, 284, 106, 19]","[640, 631, 186, 630, 116, 629, 541, 419]","[640, 186, 631, 630, 116, 629, 541, 419]","[299, 338, 621, 154, 90, 364, 438, 509]","[499, 745, 138, 350, 534, 46, 22, 623]","[499, 745, 138, 350, 534, 46, 22, 623]"
6,"[176, 27, 664, 793, 109, 666, 44, 31]","[176, 27, 664, 793, 109, 666, 44, 31]","[222, 512, 624, 738, 153, 73, 448, 115]","[272, 683, 736, 459, 168, 693, 359, 502]","[402, 781, 794, 316, 687, 725, 201, 772]","[135, 366, 347, 195, 391, 486, 13, 308]","[135, 366, 347, 195, 391, 486, 13, 308]","[230, 517, 621, 735, 153, 67, 440, 118]","[650, 416, 179, 281, 576, 152, 548, 741]","[416, 650, 179, 281, 576, 152, 548, 741]"
7,"[31, 498, 87, 335, 754, 73, 492, 674]","[31, 498, 87, 335, 754, 73, 492, 674]","[744, 590, 337, 290, 557, 491, 26, 363]","[635, 774, 414, 760, 32, 790, 378, 458]","[205, 714, 656, 239, 542, 48, 798, 584]","[475, 85, 102, 229, 502, 217, 74, 216]","[475, 85, 102, 229, 502, 217, 74, 216]","[746, 588, 324, 273, 554, 500, 31, 348]","[390, 366, 758, 187, 195, 58, 688, 621]","[390, 366, 758, 187, 195, 58, 688, 621]"
8,"[380, 406, 749, 32, 402, 31, 793, 687]","[380, 406, 749, 32, 402, 793, 31, 687]","[744, 590, 337, 290, 557, 491, 26, 363]","[147, 642, 94, 612, 277, 630, 699, 551]","[111, 145, 105, 77, 409, 683, 135, 452]","[746, 230, 664, 374, 574, 180, 618, 204]","[746, 230, 664, 374, 574, 180, 618, 204]","[746, 588, 324, 273, 554, 500, 31, 348]","[679, 414, 603, 182, 121, 681, 392, 443]","[679, 414, 603, 182, 121, 681, 392, 388]"
9,"[602, 380, 156, 756, 406, 401, 163, 50]","[602, 380, 156, 756, 406, 401, 163, 50]","[744, 713, 337, 290, 545, 465, 639, 363]","[552, 277, 284, 422, 412, 586, 17, 19]","[307, 457, 268, 402, 661, 199, 745, 162]","[526, 74, 710, 76, 14, 751, 346, 746]","[526, 76, 74, 710, 14, 751, 346, 746]","[746, 717, 324, 273, 547, 463, 633, 348]","[657, 658, 440, 237, 278, 745, 576, 487]","[698, 461, 119, 366, 60, 503, 745, 618]"
10,"[597, 14, 744, 239, 337, 711, 602, 2]","[597, 14, 744, 239, 337, 711, 602, 2]","[97, 30, 633, 596, 204, 237, 414, 224]","[724, 443, 665, 199, 235, 51, 370, 206]","[332, 559, 401, 586, 772, 664, 754, 634]","[795, 158, 525, 746, 601, 625, 532, 103]","[795, 158, 746, 525, 601, 625, 76, 532]","[102, 24, 637, 600, 191, 245, 410, 232]","[315, 281, 408, 761, 268, 179, 341, 149]","[311, 598, 778, 229, 791, 561, 410, 414]"
