,fold0_variance,fold0_old_variance
1,"[3535, 606, 116, 1905, 379, 1660, 1610, 3623, 1593, 411, 185, 728, 697, 3729, 868, 171, 1864, 1789, 1894, 1159, 2071, 1700, 2950, 2175, 2197, 124, 575, 1734, 1432, 1812, 2432, 1307, 1249, 1611, 1802, 1126]","[3535, 606, 116, 1905, 379, 1660, 1610, 3623, 1593, 411, 185, 728, 697, 3729, 868, 171, 1864, 1789, 1894, 1159, 2071, 1700, 2950, 2175, 2197, 124, 575, 1734, 1432, 1812, 2432, 1307, 1249, 1611, 1802, 1126]"
2,"[1528, 1700, 1081, 116, 3673, 575, 140, 412, 2110, 559, 2485, 756, 1924, 1633, 1490, 2459, 2752, 201, 1792, 437, 1627, 3386, 133, 700, 1506, 2179, 1336, 270, 3595, 669, 1269, 1467, 361, 1456, 273, 1973]","[1528, 1700, 1081, 116, 3535, 575, 3673, 140, 412, 2110, 559, 2485, 756, 1924, 1633, 1490, 2459, 2752, 201, 1792, 437, 1627, 3386, 133, 697, 700, 2071, 1506, 2179, 1336, 270, 3595, 669, 1269, 1467, 361]"
3,"[669, 412, 2098, 304, 774, 116, 1245, 1584, 582, 1318, 3535, 506, 155, 1638, 2004, 663, 1001, 1552, 3549, 609, 2270, 3017, 2530, 1666, 1404, 457, 1717, 1243, 2024, 1112, 1271, 1812, 695, 615, 1686, 2594]","[124, 1931, 201, 2334, 712, 1717, 1112, 1764, 598, 1307, 1951, 162, 3057, 893, 1946, 3551, 2110, 116, 185, 993, 1467, 593, 757, 3706, 612, 1081, 635, 2163, 2313, 3740, 575, 112, 81, 2215, 1812, 971]"
4,"[2761, 1551, 615, 3065, 354, 193, 1801, 3600, 2149, 757, 1814, 965, 1723, 621, 756, 2849, 972, 412, 2508, 987, 3579, 510, 971, 3615, 348, 1662, 441, 2161, 688, 560, 2603, 1467, 230, 1781, 1405, 2769]","[615, 185, 354, 1510, 1666, 2565, 121, 1637, 756, 245, 924, 3134, 932, 1269, 621, 1860, 618, 510, 2327, 1781, 390, 2702, 155, 1489, 1369, 1960, 348, 141, 3600, 3444, 74, 1801, 273, 246, 2682, 225]"
5,"[120, 2246, 582, 155, 133, 2489, 94, 2761, 971, 837, 246, 219, 295, 1257, 1991, 348, 756, 1505, 1179, 294, 1048, 1638, 440, 1375, 1510, 2, 987, 3396, 2091, 3233, 510, 1239, 1472, 1159, 123, 1297]","[932, 225, 270, 2761, 296, 506, 2100, 1505, 1723, 1171, 1297, 2993, 390, 3602, 1765, 2411, 1684, 2427, 1856, 3107, 817, 987, 3600, 361, 965, 427, 1087, 304, 3666, 504, 1662, 3232, 1867, 2682, 2408, 1092]"
6,"[2213, 1081, 120, 1165, 185, 155, 2586, 48, 1798, 2469, 1951, 825, 898, 225, 2883, 1198, 532, 901, 1653, 2752, 580, 1039, 2321, 22, 1870, 1777, 1112, 1232, 1040, 556, 3459, 441, 3002, 117, 1517, 82]","[348, 688, 2246, 2124, 1642, 1092, 30, 1067, 987, 905, 2228, 2761, 31, 615, 397, 965, 1253, 3262, 1636, 2999, 2362, 1742, 1035, 133, 1991, 827, 3600, 162, 206, 510, 888, 1303, 1652, 1781, 1903, 1663]"
7,"[117, 3592, 22, 965, 971, 1631, 3702, 2339, 1165, 1642, 3107, 2149, 544, 1092, 983, 2415, 1386, 512, 1327, 9, 1422, 3532, 648, 58, 105, 837, 712, 556, 1465, 1560, 437, 94, 2075, 3555, 245, 2]","[1405, 688, 30, 2334, 817, 3419, 920, 26, 987, 2124, 608, 565, 307, 132, 3372, 1781, 850, 1312, 2582, 1935, 3310, 348, 1394, 583, 185, 1953, 807, 437, 1825, 42, 3388, 2154, 533, 659, 932, 1920]"
8,"[162, 1257, 3388, 2, 117, 971, 993, 807, 141, 9, 206, 133, 1000, 532, 185, 2246, 1166, 390, 1742, 1092, 2144, 1179, 437, 1678, 739, 2095, 1663, 3341, 1999, 1253, 2163, 2318, 582, 1065, 800, 1011]","[245, 1465, 307, 2039, 130, 132, 85, 348, 983, 435, 510, 1631, 1232, 2246, 1638, 977, 971, 58, 1616, 300, 393, 3149, 457, 491, 3684, 2468, 185, 1092, 1953, 917, 1870, 1814, 1166, 3459, 2024, 1000]"
9,"[2005, 582, 515, 739, 225, 9, 932, 898, 1031, 2009, 3592, 1612, 120, 390, 1882, 1108, 2196, 1378, 162, 807, 2362, 185, 1909, 2210, 437, 2344, 178, 2582, 2386, 1263, 1649, 1394, 1061, 800, 1081, 1078]","[532, 26, 1847, 1010, 827, 987, 243, 2582, 73, 1999, 58, 2228, 1319, 2781, 213, 307, 627, 1023, 971, 1658, 133, 1723, 117, 343, 194, 793, 451, 583, 94, 2152, 622, 1068, 1179, 921, 3621, 920]"
10,"[2582, 739, 2586, 120, 627, 1020, 213, 9, 2447, 1928, 185, 2044, 817, 2148, 1421, 1103, 932, 2040, 1386, 1092, 1940, 1612, 515, 1229, 132, 1801, 46, 1994, 2005, 2678, 225, 366, 3313, 2334, 124, 133]","[1010, 987, 532, 26, 971, 977, 1179, 2152, 2406, 922, 244, 1006, 2204, 1113, 544, 1937, 1553, 1779, 1987, 178, 73, 1847, 622, 245, 1023, 1092, 1735, 1208, 3557, 934, 185, 497, 2149, 218, 884, 2044]"
11,"[956, 1909, 532, 1280, 491, 494, 1101, 928, 393, 1253, 930, 594, 1503, 817, 1016, 308, 1867, 294, 837, 95, 30, 793, 161, 245, 133, 917, 135, 469, 739, 37, 677, 1678, 748, 280, 256, 900]","[1474, 26, 987, 930, 280, 394, 425, 1341, 848, 1323, 146, 279, 1735, 1267, 2205, 1287, 979, 2385, 1612, 213, 698, 245, 1342, 371, 1240, 1280, 1897, 2477, 1746, 1179, 215, 469, 491, 932, 3484, 793]"
