,fold0_variance,fold0_dens_variance,fold0_random,fold0_uncertainty,fold0_dens_uncertainty,fold1_variance,fold1_dens_variance,fold1_random,fold1_uncertainty,fold1_dens_uncertainty
1,"[417, 493, 433, 547, 374, 510, 683, 542]","[127, 17, 627, 110, 245, 582, 417, 772]","[173, 319, 624, 52, 55, 753, 70, 132]","[374, 541, 464, 167, 651, 91, 79, 237]","[709, 99, 595, 141, 38, 57, 652, 110]","[428, 583, 600, 424, 302, 568, 566, 351]","[20, 583, 146, 110, 463, 273, 424, 318]","[178, 307, 621, 47, 52, 757, 72, 134]","[422, 450, 231, 168, 128, 572, 776, 373]","[666, 143, 719, 110, 589, 254, 616, 609]"
2,"[272, 660, 33, 781, 617, 666, 417, 177]","[417, 756, 320, 143, 105, 62, 36, 266]","[266, 43, 624, 544, 205, 238, 215, 741]","[749, 757, 214, 419, 353, 216, 634, 126]","[248, 325, 668, 652, 595, 245, 4, 762]","[125, 213, 718, 518, 186, 537, 40, 4]","[758, 602, 147, 414, 345, 174, 603, 252]","[255, 45, 621, 544, 193, 246, 220, 739]","[63, 667, 251, 789, 677, 421, 419, 648]","[110, 101, 154, 147, 719, 396, 586, 324]"
3,"[790, 19, 7, 502, 674, 721, 114, 404]","[160, 343, 132, 630, 552, 261, 143, 609]","[266, 706, 624, 544, 430, 441, 40, 741]","[159, 297, 126, 472, 649, 693, 757, 14]","[325, 245, 248, 474, 99, 726, 151, 4]","[210, 176, 510, 171, 120, 62, 497, 76]","[248, 350, 147, 451, 438, 180, 375, 539]","[255, 707, 621, 544, 436, 437, 43, 739]","[441, 768, 611, 186, 665, 10, 134, 563]","[110, 666, 324, 345, 669, 719, 785, 618]"
4,"[552, 405, 798, 365, 159, 75, 343, 342]","[756, 343, 103, 369, 177, 502, 335, 196]","[377, 547, 624, 495, 114, 437, 209, 457]","[509, 678, 126, 772, 392, 664, 266, 322]","[474, 245, 248, 32, 764, 585, 595, 99]","[266, 360, 746, 705, 585, 28, 547, 565]","[315, 168, 268, 751, 790, 682, 235, 431]","[359, 546, 621, 471, 110, 431, 217, 461]","[427, 476, 19, 35, 650, 17, 443, 752]","[785, 266, 101, 110, 248, 618, 153, 324]"
5,"[793, 154, 502, 674, 160, 268, 320, 745]","[485, 160, 151, 692, 247, 57, 556, 474]","[313, 330, 624, 155, 102, 356, 442, 504]","[77, 507, 535, 793, 428, 135, 493, 316]","[32, 241, 474, 245, 531, 709, 373, 451]","[640, 631, 186, 630, 116, 629, 541, 419]","[245, 480, 324, 486, 349, 556, 621, 521]","[299, 338, 621, 154, 90, 364, 438, 509]","[499, 745, 138, 350, 534, 46, 22, 623]","[666, 785, 618, 732, 318, 252, 661, 328]"
6,"[176, 27, 664, 793, 109, 666, 44, 31]","[343, 410, 502, 793, 531, 756, 163, 160]","[222, 512, 624, 738, 153, 73, 448, 115]","[272, 683, 736, 459, 168, 693, 359, 502]","[241, 474, 32, 245, 531, 247, 762, 164]","[135, 366, 347, 195, 391, 486, 13, 308]","[556, 208, 146, 616, 478, 675, 448, 690]","[230, 517, 621, 735, 153, 67, 440, 118]","[650, 416, 179, 281, 576, 152, 548, 741]","[266, 618, 583, 328, 785, 566, 573, 645]"
7,"[31, 498, 87, 335, 754, 73, 492, 674]","[472, 326, 80, 241, 624, 554, 459, 540]","[744, 590, 337, 290, 557, 491, 26, 363]","[635, 774, 414, 760, 32, 790, 378, 458]","[247, 531, 565, 231, 32, 503, 625, 474]","[475, 85, 102, 229, 502, 217, 74, 216]","[277, 102, 556, 478, 345, 146, 728, 223]","[746, 588, 324, 273, 554, 500, 31, 348]","[390, 366, 758, 187, 195, 58, 688, 621]","[618, 328, 666, 556, 785, 399, 414, 250]"
8,"[380, 406, 749, 32, 402, 31, 793, 687]","[474, 595, 781, 684, 32, 699, 503, 99]","[744, 590, 337, 290, 557, 491, 26, 363]","[147, 642, 94, 612, 277, 630, 699, 551]","[32, 247, 474, 231, 326, 531, 625, 148]","[746, 230, 664, 374, 574, 180, 618, 204]","[556, 713, 478, 275, 473, 618, 134, 86]","[746, 588, 324, 273, 554, 500, 31, 348]","[679, 414, 603, 182, 121, 681, 392, 443]","[556, 84, 442, 399, 146, 414, 153, 279]"
9,"[602, 380, 156, 756, 406, 401, 163, 50]","[474, 595, 337, 143, 134, 116, 38, 39]","[744, 713, 337, 290, 545, 465, 639, 363]","[552, 277, 284, 422, 412, 586, 17, 19]","[474, 709, 32, 247, 600, 536, 231, 549]","[526, 74, 710, 76, 14, 751, 346, 746]","[751, 755, 28, 680, 583, 713, 345, 602]","[746, 717, 324, 273, 547, 463, 633, 348]","[657, 658, 440, 237, 278, 745, 576, 487]","[719, 252, 146, 84, 556, 583, 153, 431]"
10,"[597, 14, 744, 239, 337, 711, 602, 2]","[474, 62, 595, 540, 630, 401, 105, 196]","[97, 30, 633, 596, 204, 237, 414, 224]","[724, 665, 443, 199, 235, 51, 370, 206]","[215, 247, 474, 709, 624, 536, 32, 111]","[795, 158, 525, 746, 601, 625, 532, 103]","[751, 586, 184, 88, 258, 101, 645, 374]","[102, 24, 637, 600, 191, 245, 410, 232]","[315, 281, 408, 761, 268, 179, 341, 149]","[583, 252, 431, 7, 556, 258, 414, 787]"
