,fold0_variance,fold0_dens_variance
1,"[240, 337, 407, 159, 751, 369, 474, 638]","[751, 187, 89, 408, 321, 338, 245, 693]"
2,"[102, 746, 61, 517, 616, 333, 18, 267]","[18, 607, 591, 553, 579, 686, 104, 789]"
3,"[186, 136, 12, 213, 572, 15, 354, 790]","[627, 242, 10, 530, 74, 163, 89, 267]"
4,"[119, 579, 12, 102, 749, 525, 186, 427]","[163, 221, 168, 474, 104, 207, 502, 242]"
5,"[17, 536, 313, 579, 682, 167, 12, 493]","[163, 476, 502, 488, 242, 89, 87, 530]"
6,"[579, 304, 12, 749, 746, 662, 5, 119]","[476, 417, 163, 488, 242, 502, 89, 434]"
7,"[339, 12, 419, 746, 537, 17, 382, 351]","[476, 163, 502, 89, 242, 488, 673, 609]"
8,"[89, 19, 12, 724, 125, 104, 558, 54]","[242, 163, 673, 89, 488, 218, 511, 104]"
9,"[89, 180, 12, 125, 397, 104, 579, 656]","[242, 89, 488, 339, 338, 673, 168, 129]"
10,"[114, 68, 206, 133, 118, 132, 530, 389]","[242, 89, 675, 679, 168, 673, 562, 488]"
