,fold0_variance,fold0_old_variance
1,"[240, 337, 407, 159, 751, 369, 474, 638]","[240, 337, 407, 159, 751, 369, 474, 638]"
2,"[102, 746, 61, 517, 616, 333, 18, 267]","[102, 746, 61, 517, 616, 333, 18, 267]"
3,"[186, 136, 12, 213, 572, 15, 354, 790]","[186, 136, 12, 213, 572, 15, 354, 790]"
4,"[119, 579, 12, 102, 749, 525, 186, 427]","[119, 579, 12, 102, 749, 525, 186, 427]"
5,"[17, 536, 313, 579, 682, 167, 12, 493]","[17, 536, 313, 579, 682, 167, 12, 493]"
6,"[579, 304, 12, 749, 746, 662, 5, 119]","[579, 304, 12, 749, 746, 662, 5, 119]"
7,"[339, 12, 419, 746, 537, 17, 382, 351]","[339, 12, 419, 746, 17, 537, 382, 351]"
8,"[89, 19, 12, 724, 125, 104, 558, 54]","[89, 19, 12, 724, 125, 104, 558, 54]"
9,"[89, 180, 12, 125, 397, 104, 579, 656]","[89, 180, 12, 125, 397, 104, 579, 656]"
10,"[114, 68, 206, 133, 118, 132, 530, 389]","[114, 68, 206, 133, 118, 132, 530, 12]"
11,"[24, 32, 758, 211, 7, 771, 783, 110]","[7, 758, 180, 296, 488, 32, 359, 681]"
12,"[15, 24, 12, 798, 559, 72, 694, 398]","[24, 60, 7, 510, 520, 783, 196, 443]"
13,"[301, 491, 417, 687, 93, 143, 106, 681]","[60, 579, 742, 64, 196, 647, 728, 722]"
14,"[54, 728, 671, 681, 359, 778, 7, 511]","[511, 625, 647, 231, 24, 32, 301, 681]"
15,"[540, 681, 365, 671, 771, 255, 632, 737]","[365, 642, 117, 687, 679, 441, 342, 308]"
16,"[498, 60, 103, 681, 781, 108, 244, 32]","[642, 724, 671, 338, 740, 405, 64, 361]"
17,"[342, 540, 442, 368, 36, 240, 280, 414]","[778, 671, 348, 395, 240, 222, 628, 771]"
18,"[498, 187, 182, 647, 559, 689, 231, 671]","[681, 338, 476, 365, 196, 642, 675, 435]"
19,"[494, 200, 342, 786, 113, 260, 121, 74]","[255, 365, 671, 681, 36, 771, 488, 502]"
20,"[200, 211, 141, 306, 693, 684, 435, 681]","[731, 442, 54, 104, 435, 398, 533, 502]"
21,"[559, 471, 200, 643, 739, 129, 786, 229]","[54, 476, 778, 253, 243, 506, 540, 308]"
22,"[294, 455, 684, 141, 331, 134, 556, 559]","[476, 684, 724, 505, 307, 551, 699, 778]"
23,"[435, 628, 737, 221, 365, 129, 731, 595]","[533, 502, 498, 253, 634, 114, 369, 550]"
24,"[395, 737, 611, 254, 550, 196, 365, 331]","[365, 498, 64, 253, 595, 196, 303, 405]"
25,"[395, 737, 566, 610, 642, 196, 41, 778]","[681, 671, 565, 798, 786, 375, 163, 632]"
26,"[395, 566, 642, 211, 75, 562, 650, 441]","[365, 786, 741, 163, 549, 119, 197, 187]"
27,"[408, 335, 679, 365, 62, 642, 83, 671]","[211, 163, 417, 197, 421, 119, 701, 166]"
28,"[365, 153, 791, 132, 450, 684, 733, 196]","[163, 365, 673, 350, 197, 681, 471, 763]"
29,"[368, 731, 563, 733, 365, 628, 153, 629]","[163, 350, 351, 257, 732, 369, 365, 450]"
