,used,exhausted,rounds,theor
157,1,1,[-1],1
152,1,1,[-1],2
15,1,1,[-1],3
505,1,1,[-1],2
492,1,1,[-1],1
219,1,1,[-1],1
854,1,1,[-1],1
61,1,1,[-1],1
327,1,1,[-1],1
570,1,1,[-1],1
187,1,1,[-1],1
605,1,1,[-1],2
872,1,1,[-1],1
807,1,1,[-1],2
549,1,1,[-1],1
386,1,1,[-1],3
799,1,1,[-1],1
891,1,1,[-1],1
230,1,1,[-1],4
339,1,1,[-1],5
199,1,1,[-1],2
843,1,1,[-1],3
695,1,1,[-1],1
30,1,1,[-1],1
795,1,1,[-1],1
693,1,1,[-1],2
315,1,1,[-1],1
856,1,1,[-1],1
271,1,1,[-1],1
749,1,1,[-1],1
494,1,1,[-1],1
826,1,1,[-1],3
700,1,1,[-1],2
608,1,1,[-1],1
720,1,1,[-1],1
432,1,1,[-1],2
254,1,1,[-1],3
238,1,1,[-1],1
557,1,1,[-1],1
789,1,1,[-1],6
584,1,1,[-1],1
368,1,1,[-1],2
470,1,1,[-1],1
346,1,1,[-1],4
811,1,1,[-1],2
527,1,1,[-1],1
498,1,1,[-1],2
703,1,1,[-1],1
729,1,1,[-1],4
34,1,1,[-1],1
724,1,1,[-1],1
539,1,1,[-1],2
122,1,1,[-1],1
170,1,1,[-1],2
85,1,1,[-1],4
748,1,1,[-1],3
661,1,1,[-1],2
248,1,1,[-1],1
337,1,1,[-1],2
272,1,1,[-1],6
110,1,1,[-1],6
529,1,1,[-1],4
713,1,1,[-1],2
459,1,1,[-1],1
364,1,1,[-1],2
472,1,1,[-1],1
701,1,1,[-1],4
892,1,1,[-1],1
741,1,1,[-1],2
361,1,1,[-1],2
538,1,1,[-1],1
8,1,1,[-1],1
694,1,1,[-1],2
421,1,1,[-1],1
463,1,1,[-1],2
347,1,1,[-1],3
777,1,1,[-1],1
623,1,1,[-1],1
312,1,1,[-1],1
908,1,1,[-1],2
576,1,1,[-1],1
536,1,1,[-1],5
653,1,1,[-1],1
396,1,1,[-1],1
794,1,1,[-1],2
704,1,1,[-1],1
467,1,1,[-1],1
791,1,1,[-1],1
489,1,1,[-1],4
156,1,1,[-1],1
515,1,1,[-1],1
151,1,1,[-1],1
606,0,0,[],4
542,0,0,[],1
50,1,1,[4],1
850,0,0,[],1
462,0,0,[],3
567,0,0,[],1
229,0,0,[],1
280,0,0,[],1
780,0,0,[],2
247,0,0,[],4
197,1,1,[10],1
913,0,0,[],1
296,0,0,[],2
786,0,0,[],1
876,0,0,[],2
730,0,0,[],1
141,0,0,[],2
200,0,0,[],1
917,0,0,[],1
639,0,0,[],7
910,0,0,[],1
523,0,0,[],2
130,0,0,[],1
52,0,0,[],1
99,0,0,[],1
886,0,0,[],4
841,1,1,[7],1
359,0,0,[],3
452,0,0,[],2
308,1,0,[7],2
201,1,1,[14],1
113,0,0,[],1
409,1,0,[6],4
394,0,0,[],3
776,0,0,[],1
54,0,0,[],3
165,0,0,[],3
603,0,0,[],4
593,0,0,[],1
853,1,1,[14],1
93,0,0,[],1
712,0,0,[],1
894,0,0,[],2
112,1,0,[15],2
783,1,1,[2],1
62,0,0,[],1
90,0,0,[],1
686,0,0,[],2
559,0,0,[],1
410,0,0,[],1
915,0,0,[],1
329,2,0,"[1, 5]",3
179,0,0,[],2
502,1,1,[2],1
124,0,0,[],5
284,0,0,[],1
222,0,0,[],2
451,0,0,[],1
547,0,0,[],2
167,0,0,[],4
893,0,0,[],3
880,0,0,[],1
435,0,0,[],3
282,0,0,[],1
137,0,0,[],1
274,0,0,[],3
756,0,0,[],1
468,0,0,[],2
145,0,0,[],3
395,1,0,[4],2
844,0,0,[],2
10,0,0,[],1
88,0,0,[],1
664,0,0,[],3
747,0,0,[],3
507,0,0,[],1
333,0,0,[],1
772,0,0,[],1
716,0,0,[],2
109,0,0,[],1
528,0,0,[],2
269,0,0,[],3
97,0,0,[],1
335,0,0,[],1
455,0,0,[],1
231,0,0,[],1
449,0,0,[],1
305,0,0,[],1
646,0,0,[],1
627,0,0,[],3
675,0,0,[],5
579,0,0,[],1
787,1,1,[8],1
388,0,0,[],3
544,0,0,[],2
100,0,0,[],1
900,0,0,[],1
744,0,0,[],1
140,0,0,[],2
204,0,0,[],1
420,0,0,[],1
245,0,0,[],2
3,0,0,[],1
838,0,0,[],1
597,0,0,[],4
918,0,0,[],1
349,0,0,[],1
345,0,0,[],1
80,0,0,[],2
822,1,0,[10],5
797,0,0,[],1
412,0,0,[],2
775,0,0,[],1
297,0,0,[],1
543,0,0,[],1
131,0,0,[],3
318,0,0,[],2
705,0,0,[],1
503,0,0,[],3
677,0,0,[],2
782,0,0,[],2
581,0,0,[],1
482,0,0,[],2
764,0,0,[],2
116,1,1,[4],1
564,0,0,[],3
615,0,0,[],1
169,1,1,[12],1
471,0,0,[],1
916,0,0,[],2
668,0,0,[],3
903,0,0,[],2
402,1,1,[9],1
770,0,0,[],1
715,0,0,[],3
450,0,0,[],5
383,0,0,[],1
561,0,0,[],4
658,0,0,[],1
203,0,0,[],2
571,0,0,[],1
195,0,0,[],1
665,0,0,[],2
495,0,0,[],1
278,0,0,[],2
240,0,0,[],1
28,0,0,[],2
392,0,0,[],1
